tid,pl_orbper,pl_rade,st_teff,tfopwg_disp,is_exoplanet
346418409,2.7556532,6.4145519,4993.0,FP,no
418959198,4.8962484,3.5246468,4528.99,PC,no
350132371,1.0318213,28.2906,5810.6,APC,no
128501004,0.78999,1.99,5558.0,FP,yes
2041563029,12.80758,11.4222,5094.4,FP,yes
377304435,11.35626,12.9372,6314.0,FP,yes
138968089,0.6412558,4.841202,5854.65,FP,no
25375553,2.3109689,17.30428,6371.0,KP,no
293954617,7.4341456,1.97737,5064.0,CP,yes
375506058,2.650232,15.9327,7400.0,CP,no
256783784,6.1095756,2.19963,5587.0,PC,yes
13684720,12.4379715,24.6478297,3275.0,APC,no
138588540,29.871853,2.4078494,5393.86,PC,yes
153976959,0.6858178,0.9996714,5142.0,PC,no
154383539,0.8675883,1.4302423,5011.22,PC,yes
198356533,18.840891,2.00342,6093.0,CP,yes
229650439,5.1396666,2.259057,5374.0,CP,yes
229650439,9.4280902,2.49195,5374.0,CP,yes
232982558,27.6438617,3.68027,5873.0,CP,yes
261136679,6.267832,1.99779,5950.0,CP,yes
233617847,15.5174519,2.43592,5780.0,PC,yes
233617847,4.6274206,1.43332,5780.0,PC,yes
233951353,22.092974,2.33525,5885.0,PC,yes
235683377,0.4090681,1.1833779,3328.0,CP,no
237232044,23.5407467,2.11441,5236.0,CP,yes
258514800,0.4702719,1.4344026,5466.0,CP,yes
259172391,9.8130697,2.67352,6240.0,PC,yes
259172391,4.7842093,2.14401,6240.0,PC,no
294471966,6.3170657,2.4720516,5180.0,PC,yes
294471966,4.5057387,1.7133121,5180.0,PC,yes
298073824,1.2273079,3.6075647,6906.0,FA,no
343628284,8.0970819,2.6354043,3391.0,CP,yes
356158613,,3.492429,5780.0,FA,yes
356158613,2.3691849,1.614201,5780.0,PC,yes
265612438,5.13002,8.86428,5430.7,PC,yes
377293776,2.0439268,1.0924808,3407.0,CP,yes
417931607,16.5379864,2.51948,5781.0,CP,yes
420112589,11.0619937,1.6184944,3248.0,CP,yes
198390247,6.5886877,2.12746,4920.0,CP,yes
198390247,4.3135263,1.17405,4920.0,CP,yes
294179385,2.6794168,13.6925582,6075.0,PC,yes
387259626,3.6231364,18.4921,6458.8,APC,no
199376584,18.712253,10.3984,6125.0,CP,yes
176860064,6.3768174,,6393.0,APC,yes
191284318,2.7759678,15.4018,6140.0,KP,yes
16920150,9.155934,2.4949092,5219.0,FA,yes
355636844,6.30556,,,FP,yes
17005768,6.8424983,16.4578474,5766.0,FP,no
44631965,3.5686777,20.2503751,6046.0,APC,no
188768068,2.1779407,1.28228,5801.89,CP,no
